#n, time
100000,0.914
10100,0.078
10200,0.074
10300,0.060
10400,0.060
10500,0.068
10600,0.080
10700,0.078
10800,0.071
10900,0.089
11000,0.073
11100,0.081
11200,0.082
11300,0.087
11400,0.080
11500,0.071
11600,0.077
11700,0.076
11800,0.086
11900,0.090
12000,0.077
12100,0.075
12200,0.090
12300,0.088
12400,0.078
12500,0.086
12600,0.070
12700,0.089
12800,0.081
12900,0.101
13000,0.100
13100,0.108
13200,0.108
13300,0.106
13400,0.098
13500,0.104
13600,0.108
13700,0.112
13800,0.101
13900,0.092
14000,0.102
14100,0.090
14200,0.097
14300,0.113
14400,0.100
14500,0.087
14600,0.099
14700,0.110
14800,0.094
14900,0.115
15000,0.115
15100,0.093
15200,0.100
15300,0.108
15400,0.120
15500,0.119
15600,0.112
15700,0.114
15800,0.111
15900,0.127
16000,0.117
16100,0.095
16200,0.105
16300,0.108
16400,0.133
16500,0.118
16600,0.133
16700,0.113
16800,0.107
16900,0.154
17000,0.139
17100,0.130
17200,0.129
17300,0.130
17400,0.130
17500,0.152
17600,0.146
17700,0.161
17800,0.165
17900,0.291
18000,0.130
18100,0.142
18200,0.148
18300,0.155
18400,0.159
18500,0.148
18600,0.143
18700,0.154
18800,0.159
18900,0.143
19000,0.173
19100,0.157
19200,0.147
19300,0.118
19400,0.132
19500,0.160
19600,0.139
19700,0.156
19800,0.135
19900,0.140
20000,0.144
20100,0.152
20200,0.176
20300,0.182
20400,0.189
20500,0.187
20600,0.155
20700,0.177
20800,0.148
20900,0.146
21000,0.176
21100,0.176
21200,0.187
21300,0.183
21400,0.163
21500,0.171
21600,0.155
21700,0.155
21800,0.154
21900,0.179
22000,0.159
22100,0.164
22200,0.151
22300,0.184
22400,0.191
22500,0.201
22600,0.191
22700,0.197
22800,0.170
22900,0.164
23000,0.166
23100,0.172
23200,0.160
23300,0.153
23400,0.167
23500,0.184
23600,0.173
23700,0.151
23800,0.190
23900,0.165
24000,0.169
24100,0.191
24200,0.185
24300,0.188
24400,0.178
24500,0.191
24600,0.181
24700,0.191
24800,0.186
24900,0.183
25000,0.149
25100,0.157
25200,0.161
25300,0.200
25400,0.221
25500,0.193
25600,0.174
25700,0.171
25800,0.224
25900,0.198
26000,0.260
26100,0.226
26200,0.231
26300,0.250
26400,0.246
26500,0.215
26600,0.238
26700,0.248
26800,0.231
26900,0.246
27000,0.238
27100,0.247
27200,0.245
27300,0.586
27400,0.244
27500,0.271
27600,0.263
27700,0.258
27800,0.236
27900,0.221
28000,0.207
28100,0.221
28200,0.207
28300,0.237
28400,0.202
28500,0.201
28600,0.206
28700,0.219
28800,0.215
28900,0.205
29000,0.205
29100,0.266
29200,0.246
29300,0.231
29400,0.243
29500,0.200
29600,0.243
29700,0.196
29800,0.213
29900,0.242
30000,0.185
30100,0.196
30200,0.268
30300,0.204
30400,0.191
30500,0.191
30600,0.199
30700,0.190
30800,0.207
30900,0.265
31000,0.250
31100,0.198
31200,0.208
31300,0.242
31400,0.252
31500,0.272
31600,0.256
31700,0.226
31800,0.250
31900,0.240
32000,0.237
32100,0.257
32200,0.208
32300,0.226
32400,0.340
32500,0.280
32600,0.297
32700,0.243
32800,0.281
32900,0.256
33000,0.272
33100,0.251
33200,0.316
33300,0.241
